District,Neighborhood,Latitude,Longitude
Central & Western,Central District,22.2813223,114.1602579
Central & Western,Mid-Levels,22.2824052,114.145809
Central & Western,The Peak,22.2720026,114.1524166
Central & Western,Sai Wan,22.2858376,114.134023
Central & Western,Sheung Wan,22.2868701,114.150267
Eastern,Chai Wan,22.2656067,114.2379644
Eastern,North Point,22.2916575,114.1995447
Eastern,Quarry Bay,22.2877545,114.2149322
Eastern,Sai Wan Ho,22.2824457,114.2215064
Eastern,Shau Kei Wan,22.279343,114.2288978
Eastern,Siu Sai Wan,22.2637273,114.2502079
Southern,Aberdeen,22.2487691,114.155954
Southern,Ap Lei Chau,22.2412104,114.1541361
Southern,Chung Hom Kok,22.2182618,114.2047605
Southern,Cyberport,22.2606967,114.1302863
Southern,Deep Water Bay,22.2524377,114.1821134
Southern,Pok Fu Lam,22.2613573,114.1368089
Southern,Tin Wan,22.249639,114.148008
Southern,Repulse Bay,22.2381085,114.1963176
Southern,Stanley,22.2143908,114.2159129
Southern,Shek O,22.2331673,114.2500334
Southern,Tai Tam,22.25099871,114.2093943
Southern,Wong Chuk Hang,22.2485106,114.1667025
Wan Chai,Causeway Bay,22.280208,114.1848407
Wan Chai,Happy Valley,22.2684644,114.1860289
Wan Chai,Tai Hang,22.2772036,114.1937838
Wan Chai,Wan Chai,22.2656067,114.2379644
Kowloon City,Ho Man Tin,22.3166958,114.1808009
Kowloon City,Hung Hom,22.3038578,114.1850851
Kowloon City,Kowloon City,22.331013,114.190366
Kowloon City,Kowloon Tong,22.331632,114.1800196
Kowloon City,Kowloon Tsai,22.3332909,114.1829728
Kowloon City,Ma Tau Kok,22.3210877,114.1930294
Kowloon City,Ma Tau Wai,22.3241153,114.1863786
Kowloon City,To Kwa Wan,22.3167582,114.1895402
Kwun Tong,Cha Kwo Ling,22.3030622,114.2286659
Kwun Tong,Kwun Tong,22.31177388,114.226209
Kwun Tong,Lam Tin,22.3101757,114.2378331
Kwun Tong,Ngau Tau Kok,22.3212626,114.2176894
Kwun Tong,Kowloon Bay,22.3249335,114.2089541
Kwun Tong,Sau Mau Ping,22.3215707,114.231833
Kwun Tong,Yau Tong,22.2975047,114.2383245
Sham Shui Po,Cheung Sha Wan,22.336246,114.1517566
Sham Shui Po,Lai Chi Kok,22.338889,114.1385614
Sham Shui Po,Sham Shui Po,22.3300955,114.1609403
Sham Shui Po,Shek Kip Mei,22.3344537,114.166331
Sham Shui Po,Stonecutters Island,22.3219132,114.1383171
Sham Shui Po,Yau Yat Chuen,22.3310303,114.1744603
Wong Tai Sin,Diamond Hill,22.3452225,114.2050982
Wong Tai Sin,Kowloon Peak,22.3406401,114.2233353
Wong Tai Sin,Ngau Chi Wan,22.3353487,114.2092998
Wong Tai Sin,San Po Kong,22.3367792,114.1983266
Wong Tai Sin,Tsz Wan Shan,22.3486715,114.1999443
Wong Tai Sin,Wang Tau Hom,22.340758,114.1869698
Wong Tai Sin,Wong Tai Sin,22.3420635,114.1943877
Yau Tsim Mong,Mong Kok,22.3196852,114.1683968
Yau Tsim Mong,Tai Kok Tsui,22.3210684,114.1612096
Yau Tsim Mong,Tsim Sha Tsui,22.298872,114.1741181
Yau Tsim Mong,Tsim Sha Tsui East,22.2994425,114.1779249
Yau Tsim Mong,Yau Ma Tei,22.3069384,114.1644631
